iter	Passed	Remaining
1139	112001	5894
1140	112081	5795
1141	112165	5696
1142	112249	5597
1143	112337	5499
1144	112420	5400
1145	112506	5301
1146	112589	5202
1147	112674	5103
1148	112757	5004
1149	112837	4905
1150	112915	4807
1151	113001	4708
1152	113082	4609
1153	113170	4511
1154	113258	4412
1155	113341	4314
1156	113427	4215
1157	113509	4116
1158	113589	4018
1159	113672	3919
1160	113757	3821
1161	113841	3722
1162	113931	3624
1163	114015	3526
1164	114097	3427
1165	114176	3329
1166	114262	3231
1167	114350	3132
1168	114433	3034
1169	114512	2936
1170	114594	2837
1171	114674	2739
1172	114757	2641
1173	114841	2543
1174	114919	2445
1175	114994	2346
1176	115070	2248
1177	115146	2150
1178	115221	2052
1179	115293	1954
1180	115370	1856
1181	115442	1758
1182	115520	1660
1183	115593	1562
1184	115668	1464
1185	115747	1366
1186	115821	1268
1187	115893	1170
1188	115969	1072
1189	116044	975
1190	116120	877
1191	116195	779
1192	116270	682
1193	116344	584
1194	116418	487
1195	116489	389
1196	116563	292
1197	116638	194
1198	116716	97
1199	116791	0
